"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38"
"Aepyprymnus_rufescens",0.115223391198133,-0.000202917877319986,0.0116218679190851,0.0358739940614893,-0.0328074307110704,0.00830600024973746,-0.00556998570115525,0.0164695898584545,-0.00436582410472731,0.00490368924992647,-0.00664768028206404,0.00413827533618326,-0.00778751909825044,0.00939891525067039,-0.00649607970143845,0.00585291675321487,0.000501378586797909,0.00685799731939044,-0.00152586004941746,-0.00744895293427231,0.00258701258937878,0.00395726660818137,0.00712990136254056,0.0018164439955936,-0.00278949735622138,-0.000136266887012646,-0.00241363853147943,-0.000130427009696159,-0.00250685940040428,0.000472336769673554,0.00132609712908981,0.000939100988282447,0.000806086830224756,0.000748292714055727,0.00146802645083658,0.000314193591412571,0.000800589516722726,0.000133283095382264
"Bettongia_gaimardi",0.0513449440685315,-0.0629362937160787,-0.0105194258766212,0.0463506083032364,0.024379912920431,0.00501718453919764,0.0213615408435841,0.0135235582963551,0.0333478986875093,-0.0128067293938302,-0.00104783818546215,0.00586506499549992,0.00317972071069635,-0.00549737482802723,0.00220227530085721,0.00285151759739329,-0.00158568115462439,0.010064054732158,0.00219101112057953,-0.000371136787925619,0.00482636100599657,-0.00177745090803567,0.000907626642723565,-0.00451951826624831,-0.00253544921072329,0.00350177679483707,-0.00200490608609394,-0.000904994240981552,0.000352271858980205,-0.000903595272718703,0.000341784275064045,-0.000386015874972069,-7.01293369682046e-05,-0.00134884116181381,-0.000787811027550795,-0.000241566420109337,-0.00104952990988921,3.45317984334518e-05
"Bettongia_l_lesuer",0.138846149687682,0.0631895181946471,0.0655154412744382,0.0207542648738096,-0.0184199072739607,-0.00404742093861099,-0.0165359645667479,-0.000518835924815746,-0.0102704353956783,-0.0213939863059969,0.00206872671701743,0.0173611426908262,0.0147047195991691,-0.000770400938940763,-0.00173096658220334,0.00411732351239853,0.00513277506882103,-0.00415408852891876,0.0015420759356227,0.00303469378390585,-0.000519518423113677,-0.00250441182821996,-0.00525838051164309,-0.00120405908035865,0.00160876204023736,-7.82179650532673e-05,0.000619829938318619,-0.00154432737536731,0.00120356503692897,-0.00148547062610271,-0.000205222127451983,0.000748769698550639,-0.000256580536457951,0.000483119547512237,-0.00118690960464067,6.74710838920024e-05,0.000111704667073696,-0.000348755571299874
"Bettongia_p_ogilbyi",0.099644099366091,-0.0501606804218026,0.0419482678108263,-0.00774655383490392,0.0201386987535829,-0.00278565082176522,0.0227745900066691,-0.0173316227381906,-0.00332475399911378,-0.00785779662193596,-0.00281878672965795,-0.00593943398665733,0.0113764407664392,-0.0136475172167216,-0.00113789635424226,-0.00963273093204733,0.00122086594037835,-0.00209175122812711,-0.00028035913316098,-0.00138984089786855,-0.000424899071764873,-0.00127742453596108,-0.00107535547837776,0.00618430146008696,-7.43736361536137e-05,-0.00261843540893746,0.000645542956584244,0.00487101831287144,0.000273541329557518,0.00213019419001034,-0.00177068713606627,0.00120346404517722,0.00109920216548554,-0.00111263147556158,0.00101674211344585,-0.000118102273185259,0.000141878181615717,6.62817990798836e-05
"Dendrolagus_goodellowi",0.00367221847730061,0.0228568070020077,-0.038271840310094,-0.00620314741666399,0.028134566039545,0.0167431411132871,-0.0181160710025448,-0.0124846837191613,0.0132906850484136,0.0273312044315788,-0.00657380204165046,0.0138612371163366,0.000883297084193478,-0.0117341424877649,-0.011655973244936,-0.00149494560315024,0.0093352378846312,0.00623300427650266,0.00862530526996532,-0.00719943298557496,1.38156423320817e-05,0.00382764384820973,-0.00277801095180823,-0.00307912566506233,0.000771615342802894,-0.00130334045187271,0.00181741245819374,0.000897894781995962,0.00124831918131504,-0.00127216536211829,-0.00153541968839963,-0.00167992872902809,0.00126219949665528,0.000173228908742866,-0.000212254684955856,-0.00034773433854237,0.000704704685679504,8.35991281069439e-05
"Dendrolagus_lumholtzi",-0.00868573377723275,0.040656771587871,-0.0166781580330858,0.00975056911563044,0.0565702790424569,0.0205402666301466,0.0107524165362787,0.00817709037228034,-0.00103691975262827,0.00901645755708793,-0.00113039189590302,3.76402515749014e-05,-0.00271323267676316,-0.0114782091830206,0.0104868700605019,0.00183373244064071,-0.00511435826914762,-0.0119629354350818,0.00247520802782446,-0.00156349215993498,0.00437482947196401,-0.00195620279884485,0.00032210959999591,0.00341729501476098,-0.00350946240243793,-0.00284172767855163,-0.00282937034165113,-0.00488212738302708,-0.00116111256899141,-0.000260209128776187,-0.00155346262655847,0.00166099766051576,0.000346532379312179,0.00097138100543378,0.000257886474002934,0.000120993313070322,6.26705280578289e-05,-0.000355890792846684
"Dendrolagus_matschiei",-0.0245445253602928,0.0285609135745807,-0.0121872165186148,0.0442406123485181,0.0170578470180579,0.0198119140058232,-0.0232577766083472,-0.014547668579155,0.0110603769502221,0.0111957367979303,-0.0121675935593844,-0.000181873572898594,0.00218400753597492,0.00336257629410764,0.00821333782692192,-0.00100418426257065,-0.00336628788235131,0.000773670110741235,-0.00694349115910188,-0.000801116620939606,-0.0053825292924052,0.00337905389783012,-0.00612113874358949,0.000936416028325684,0.00553568431576323,-0.00107976798523206,-6.64479182211214e-05,0.001757529174269,-0.000215770351594549,-0.00038508101971545,0.0029261216606716,0.00145685883454822,0.00013413748239709,-0.000724651086452324,0.000876904411892453,0.00101663792602086,-0.000813973643024757,-0.000245254599382267
"Hypsiprymnodon_moschatus",0.0500229594277381,-0.0396804106684483,0.064205723454733,-0.023039767196112,0.0362922652023997,-0.0379438765062462,0.0129823529299428,-0.0143271472545358,-0.00174409049806769,0.0428839172446647,0.00629708326737414,-0.0008517679478816,-0.00818333101246665,0.000221529061214847,-0.00308962292835262,0.00430956014837567,0.00355877480914911,0.0035645916112469,-0.00249291632856548,0.00414830210302061,4.43867783818418e-05,-0.00300636481686537,-0.000630479822489729,-0.00106051466342118,0.00131485881258295,0.00159339813906692,-0.000216654283727108,-0.00153928765182306,0.000308920560700725,2.13847516341761e-05,0.00212002000554616,0.000587499941646789,-0.00137068149732705,0.000960214705125387,-0.000100692793806832,0.000278812415675638,-0.000136874197434754,0.000154293184562017
"Lagorchestes_c_conspicillatus",0.0220523108104895,0.0873826194542131,-0.0241056384101228,0.00686196704558026,-0.00301177101560049,0.0219288934929739,0.020773579365953,-0.00970671031408709,-0.00734279310875537,0.00633501427597835,0.0314207761649832,0.00121084442905018,0.0102346053229427,-0.0051692037684366,0.00270096866897002,-0.0104433073008617,-0.00523444855699826,0.00314731634656244,0.00496498390808496,0.00533520291840141,0.00215336294877777,0.00445924749640496,0.00350746496274629,-0.000557724262675564,0.00093281962462486,0.00488278964514667,0.00162596921006115,-0.000256317244181107,-0.000118714046129998,0.00235723367437538,0.00202936625895425,-0.000432789471864241,-0.00106297905707839,-0.000355420230475924,0.000316989378990934,-0.000278068496797114,0.000341397768391653,0.000106501606554739
"Lagorchestes_h_hirsutus",0.0130895995252613,0.045156252026167,0.0173752779434345,-0.00158591331718434,0.00811236360705753,0.00661249912581893,0.0449978746514598,-0.00780368304086586,0.00499099651489298,-0.0209515101865421,-0.00582951933910047,-0.0189340255339497,-0.018485188043361,0.00591019348086278,-0.00508956239760988,-0.000719314434377303,0.00454682897681503,0.00231878166804134,-0.0036756920302889,0.00357617723619217,-0.00467881393281491,0.0061957847714897,-0.00357679022218783,-0.00370325846813555,0.00336575567388295,-0.00180395482570464,-4.87648057901106e-05,-0.00291188189640097,-0.000646021950950296,-0.00183146616111356,-0.000734275674887371,-0.000843350135857481,0.00109327057480638,-0.000180256663518319,4.60205446282554e-05,0.00015452778544668,0.000450256578164874,0.000226110101645393
