"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42"
"Aepyprymnus_rufescens",-0.115451163643717,-0.000110479942466148,0.0208803591955322,-0.0421907019927912,0.0211929291131616,-0.00460483773366847,0.0153940557041294,-0.00399213502469019,0.00743361076742165,-0.00234106141525137,0.0104116177738461,-0.00109566739605016,0.00217631823627845,-0.00702567914083302,0.0151767045639581,-0.00594759890225586,0.00241634806855932,-0.00266419431343059,-0.0024830564583212,0.00101428989804809,0.00445386094607624,0.00242093165804673,0.00265390234236832,-0.00310064375257634,-0.00637636225533626,0.00127249530219814,0.00439656165616896,0.000119449137842513,0.00377401339353049,0.00205685396802534,-0.000821019025320033,-0.00407879521588272,-0.000493578486425727,-0.000757844823655872,0.000479624915450396,0.00182478968190052,0.000334804821692006,0.000206602831969499,0.00035311462328081,0.000735611880851867,2.08697622609031e-05,0.000706413022727098
"Balbaroo_fangaroo",-0.0102200242250242,0.0298790828360714,-0.0357633545286788,-0.0242205346032503,0.0682869327751212,-0.0707463689598178,-0.0336825307500761,-0.00525595966959696,-0.00437284109690884,-0.0070905674950341,-0.00852591117192679,-0.00246956944039724,-0.0195919803850119,0.00915570859309608,-0.00436595193099521,0.00670086033606128,-0.00894464864886954,-0.00512568550893667,-0.00057891029102851,0.000321040982343815,-0.00144758470426384,-0.00718557312262295,0.00148315822341336,-0.00177012843360174,-0.00123674058065534,0.00170437092352389,-0.00059587574660792,-1.14734130113808e-05,0.0014731125181692,0.000301252834007026,-0.00172596631656186,0.00116551288393755,0.000444132033444647,-0.000122858005276749,0.00106604793571969,0.000192048917861194,1.14187322453397e-05,-3.35943540588201e-06,-8.47524978348318e-05,3.85031580669126e-05,-7.73983163133903e-05,-6.588127211556e-05
"Balbaroo_nalima",0.00268612795853888,-0.0241506378889293,-0.0204107512815236,0.0382603013315175,0.00260725859077877,-0.00580055558177647,0.0244539052006486,0.00836419796086676,0.00873054474885903,0.00382355056525042,0.00952041407012574,-0.00619166715656665,0.0138557471939545,0.00696682934935159,0.0113009842522365,-0.00211634942208773,-0.00453817211811608,0.00361452052330895,0.00722265403932584,0.00221420452727412,-0.00171933532597444,-0.00260016380330071,0.00426667385388499,-0.00440491118466272,-0.00832339327415712,0.0032863842180394,0.00120534042332475,-0.00311512058796382,-0.00363696412430616,-0.00391311621166043,-0.00332744378654818,0.00565676083731681,-0.00263806871401453,-6.89888598452116e-05,0.000356130841315214,0.00136840813190405,5.73262767655486e-05,0.00038421663677597,-0.000282438927483263,0.000163823494597153,0.000144697198610013,-7.41743558198113e-05
"Bettongia_gaimardi",-0.0513310942993842,-0.0605166410593605,-0.0187136012412882,-0.00279684044318885,0.0527824165309442,0.0132416269532535,-0.00160354947036028,0.012858995674777,-0.00357380934526492,0.032965832463094,-0.000373178655559477,0.0129390217045052,0.00772856903039764,-0.00253347534981418,0.00123050713737798,-0.00995889237116958,-0.00480145278246482,-0.00419333877619448,-0.00498940898231183,-0.00383108714814643,-0.00395816937575053,0.0026280021291179,-0.00435183183194903,0.00290223817821328,-0.000806127274671354,-0.0036214092519906,0.00591194038498477,0.000172017715792563,6.2592695911412e-05,-0.00270940634324884,-0.00172711337828577,-0.00200882943331146,0.000616162396548234,0.00124927599618457,-0.000184285022772062,-0.00049564372449944,0.000352206646074109,-0.000508273383862728,0.000741177442188033,-0.00033497631745173,0.000121182810646538,-0.000678923364665122
"Bettongia_l_lesuer",-0.139043351488151,0.0591341786922507,0.0769830778164277,-0.0142999007360402,0.0061881457739609,0.0125316066479157,0.00849152320666725,-0.0127782047149098,0.00570893933055226,0.0064689312547735,-0.00632250167822949,0.0185722344221396,-0.00168097497988923,0.00848510510437381,-1.35689196438431e-05,0.0103508469494519,0.00841649041221971,0.000812631342619822,0.00437737691545178,0.00245764188287675,-0.00921788037917726,0.000910964280611088,0.00119140024826742,0.000597100304509425,0.000873255511885254,-0.000609790095642418,-0.00280492264678905,-0.00192915954955557,0.0013419044326538,-0.0032472482060196,0.000849866144389687,0.00110461040746225,-0.000375593718348551,0.00140051716204468,0.000783728334328953,-0.000182711970812283,-0.000294919301330623,0.000529293813829204,-0.000920949187530281,-0.000667332976030302,-0.000177546056317615,8.7586296471046e-05
"Bettongia_p_ogilbyi",-0.0990018714261397,-0.0549428318809246,0.0377947099332802,0.0282408303794614,0.00129141264114177,0.0108198937511649,-0.00462756644446068,0.02120303707424,0.00334591842621733,0.00131468888652148,-0.00173567168611441,0.00599803915054587,0.0035558530652268,0.00768111518517638,-0.0144193862956375,0.00682864742949824,-0.0118057550509247,0.00413750806274051,0.000822669619548285,0.000973387777947194,-0.00248622330058974,-0.000207052328763253,0.00343233179584242,-0.00105569696638761,0.00333248007515937,0.00473027357013425,-0.000290388837072196,0.00196126944798971,0.000634020713363914,0.00605927417245004,7.9890107900387e-05,0.00133701105773714,8.04058782045547e-05,-0.00172752940874437,-0.000679634852256755,-0.00019934177672865,-0.000304650300746968,0.000398226719512403,0.000744306959053097,0.000596326682749145,-0.000312673997512949,-0.000584552870020079
"Dendrolagus_goodellowi",-0.00317471268288184,0.0223191744491072,-0.0403803199410857,0.0200164320861506,-0.0043484013348965,0.00857011270988462,0.0141222525117147,-0.0168227860898382,-0.0233026619227754,-0.0164162657202372,0.010973282729991,0.013351088492769,0.00730937855878274,-0.0127108629469841,0.00821940074440747,0.00042217993350253,-0.00907769725182411,-6.07801054167521e-05,0.00810824836388866,-0.00654895685367532,-0.00421866875329886,-0.00344053545482308,0.00106576216840852,-0.00623221530103499,0.00544198707209367,-0.00538238488049171,0.00343782470254596,2.15033845060647e-05,0.00262019980657489,0.00113265982284304,0.00133374396582468,0.00200925832932723,0.00127141591584759,0.000329809121524508,0.00122918018509371,-0.0015210351328831,0.000111410349303648,0.00122572592662524,0.000869378433291171,-0.000210210338550003,-0.00040567401441095,0.00032785774869535
"Dendrolagus_lumholtzi",0.00875126752943785,0.0403843263498376,-0.0271385413116429,0.0435652636706695,0.0243916352161214,0.0143253021583285,0.00445601414789097,-0.00201519476029428,0.0125651924925081,-0.00328038190033819,0.00126141799809914,-0.000423128200655121,0.00179887414871351,-0.00976238892700653,-0.0109648749370135,-0.00261185410840506,0.00757162568140475,0.00194346929676645,-0.000898116728781069,0.00705594203765154,0.00151209814034899,0.00168875266596129,-0.00360178336584694,0.00417015635945421,0.00344397763080238,-0.00149945147417612,0.00430576129128295,0.00166964457358646,0.00033445347538052,0.00358011461465983,-0.00279799152627056,-0.000116407628269685,-0.00163270058918127,-0.00316749621908734,0.00299928246670323,0.000924999810028483,-0.00225808251697422,0.000140569786485842,-0.000515543433325109,4.22927042966588e-05,-7.51848551776833e-05,0.000115593861631488
"Dendrolagus_matschiei",0.0243551303710565,0.0302874467945932,-0.0120291683698237,-0.00541125437614497,0.0357199400017977,0.0252218218735197,0.0233763703312945,-0.0151898149022884,-0.0221499291658436,-0.00627389333238619,0.00943476866341661,-0.00637524880817967,-0.00958717849808043,0.00533495830960051,-0.00206318344943119,0.000300010418163366,-0.000164834874196553,-0.00285214391158117,-0.00398579036703805,-0.000729011089947614,0.000149662307017454,0.0056385662062127,0.00213008707770945,-0.00516562909689857,0.00509780826740101,-0.00365568354448248,-0.00334202088171306,0.00256249077625995,0.00061465411894972,-0.000173427692659359,0.00171537082672791,0.00146252434256594,-0.0025265305874227,0.00143017509909122,-0.00149329992907193,0.00257095466972767,0.000428174941459138,-0.000496009147025514,0.000769088605513762,0.000476611559408687,0.000716739976951538,-0.000351745659013822
"Ganguroo_robustiter",-0.0262339899557661,0.0137619019334957,-0.0203473629526891,0.033473316684419,0.00641459687924668,0.00909896329987308,-0.00993067702126397,0.0141684816582549,-0.00685505290273991,0.0152966834090207,0.00352233502002918,-0.0213068566189855,-0.0102936029750769,-0.000321281453275178,-0.0149060008470399,0.00551678784910617,0.0187458805155986,0.00694210756372553,0.00611624112416259,-0.0107428757554035,0.00403454962926077,0.00324385217433218,0.00354959871367507,-0.00231011695953772,0.00140467455366334,0.00139525313704564,0.0018389540086001,-0.00301035437928878,0.0030755271229531,-0.00251874018132364,-0.00106287057291004,-0.000306284411653595,0.00196722550146715,0.000180925237887539,0.000487749296635454,0.000240332863089703,0.00222330201374966,0.000296193412314085,7.83796654990425e-07,0.000144284894004695,-0.000245170388941177,-4.11110367006474e-05
