"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39"
"Aepyprymnus_rufescens",-0.0600509340681456,0.000530701757979898,0.0522788169448931,0.0253369853962776,-0.0232843029810949,0.00916095770644049,-0.00434129360803534,0.0319871190541082,-0.00108694276956315,0.0200752920621598,-0.0117105876529099,0.00319605347470267,-0.00411272362556656,0.00103923485479546,0.00419207217830534,-0.00664643638195637,0.00857638996646179,-0.00141128467209872,-0.00389316348746508,-0.00284837585668327,0.00813145798118459,0.000441487986409537,0.00280103884089025,-0.000464608643493087,-0.00138729461222051,-0.000505071593449152,0.00152409428105349,0.000375377802435382,0.00200930828205934,0.000416149123922266,-9.82969716973513e-06,-0.000651901677004535,-4.14167927715052e-05,-0.000658022546549008,-0.000248610797395692,-0.000316881525564407,-0.000621579563367545,-0.000290102289884386,-0.000100491069841566
"Bettongia_gaimardi",-0.0755254582429366,-0.00426348883794243,-0.0168912622926743,0.00375850674679498,-0.0265599879485261,0.00140487755974121,-0.0159250590058058,-2.6904529352022e-05,0.00917703879448026,-0.0180531151875287,0.00623596139648176,-0.0069288345495046,0.0113139179458773,-0.000969568309438797,0.00420969649477708,-0.00913877001704879,-0.00456453961978003,0.00326556442369429,0.00923626709301315,0.00790422232900576,0.00552475100703841,0.00580408466102799,-0.00086545161088547,-0.00264050283265417,0.00176839515160524,0.00145816158994641,-0.00219847175829362,-0.000730604633547843,0.000832265679156917,0.000362719214549379,0.00127596330080329,-0.000932276332431915,0.0014172965554616,0.000820362757846535,0.000797364139294605,-0.000556558595491372,-8.11626684648453e-05,-0.000214186842327105,0.000163851936880292
"Bettongia_l_graii",-0.0630601705981505,0.00537569440650221,0.0278993226869872,0.0149484871741716,-0.011117984406973,0.00337928749910042,0.0146090492932655,0.0153847119773815,-0.00963195415613938,-0.0117442420027081,-0.00782822472372716,0.0226206909612091,0.00304479332547156,0.00247858672465946,-0.010369333625714,0.0088416768248535,-0.0022154816232123,0.00159302554061589,0.000777291233193894,0.00742716741816448,-0.00023795276853543,-0.00141769876656407,-0.00803384971617156,0.00105489682206527,0.0012055374982853,0.000127226859978623,0.000266803796164399,-0.00153882474919515,-0.000140981756626131,0.00156989595305841,0.000920142970116085,0.00110630898730583,-0.000669994642138708,0.000500499031812748,-0.000906011892324577,-0.000274550605377396,0.000785507480422155,-6.85763121852635e-05,0.00011443814742908
"Bettongia_p_ogilbyi",-0.0698817575814155,-0.00503485355394934,-0.0291485847180406,0.00960415630641574,-0.0334065201353178,-0.00732183176155979,0.0121255669731301,-0.00818134666407227,-0.00157495289374376,-0.00793166630672744,-0.00673928213218083,0.016469585873081,0.00510636585385538,-0.00424253576132335,0.00605597260609137,-0.00294381786758149,-0.00145110780160976,-0.00756077741279159,-0.00130172200267045,-0.00606132816785662,-0.00514006690093407,-0.00262764727309888,-0.00277134569273546,0.000991358935052459,-0.00415168849213871,0.000972281246942547,0.00276040185000061,0.00163151050629677,-0.0034339476172088,-0.00186284179705681,-0.00210592790909111,-0.000901936831840755,0.000982077590446705,-0.000171167993016188,6.73836441949742e-05,0.000352939047245943,-0.000390336560947583,0.000203971295399731,0.000180519917358266
"Dendrolagus_goodellowi",-0.00918396341342791,-0.0135830372945548,0.0343471779489519,-0.055952704334258,-0.0168161857289618,-0.00981554109361223,0.0181443752662246,-0.0128065946375273,-0.0101526616834219,-0.00791113272440423,-0.0103025374207623,-0.0143380057817189,-0.00108431233826171,0.00483855477453191,0.00809084325919182,0.00355194543118865,0.00234625877441609,-0.00601962639421453,-0.00642097962044277,-0.00168168845920279,0.00436098749465972,-0.00246877869171208,-0.00123693766033889,-0.00096579417663794,0.00180556848978321,0.000554660321744012,-0.000654636367903807,-0.000588852733654485,-0.000148396547475988,0.00234490703139565,-0.000985809778145465,0.000978513116125198,0.000280774268727605,0.00019296642690605,0.00174390225570402,0.000594005975768197,0.000288899808219748,-0.000445295592946529,7.27957789873731e-05
"Dendrolagus_lumholtzi",-0.0386869966956809,0.0305794176983528,0.0364577569593176,-0.020598910891134,0.00903346967456991,0.000292208571887809,-5.78835073372332e-05,-0.00203491058864158,0.0341846638973569,-0.0173401839342915,-0.0085887244905747,-0.00881274866972522,0.0216756175837317,-0.00439193090798821,-0.00872685198235587,0.00285477493270873,0.00169460902967084,0.00421715601665712,-0.00310288153692284,-0.00432501291319988,-0.0019588591944888,-0.0029898392458143,0.00429579119790096,0.00201453587350542,-0.00148897736862693,-0.00197409801326078,0.000932568583798734,0.00168058473600578,0.000189341441053298,-0.0011728444013309,0.00150187742896465,0.000932520360980478,0.000179265729261026,-0.000606603127175691,-0.000108638258907441,-0.000127753867637799,-0.000111490792428653,0.000309784909770379,-0.000120805559089728
"Dendrolagus_matschiei",0.00452610010615778,0.0232107791198244,0.0312027796138691,-0.0297865576397436,-0.0177927057766263,-0.0163953621645521,-0.00085960751402523,-0.000744939109517891,-0.00895072325833879,0.000974523188998348,-0.00207884860450543,-0.00120578303141074,-0.00623397338866637,-0.000122624287566821,0.00721229121825494,0.00705276939058519,-0.000705981616705322,0.00335343252036892,0.00971448449773515,-0.0088821119948859,-0.0065149721319747,0.000644873788581185,0.00331602142460609,-0.000965386025961322,-0.000356106481570057,-0.00214391772377755,-0.00387197832944338,-0.00218199568578497,-0.00163213415125539,-0.000649807540928125,0.000948577026643722,-0.00171019599321289,0.000139573330761017,0.00065371490070896,-0.00176309169704946,-0.000348885876391082,9.03415139321569e-05,-0.000398121411388188,-0.000164474093806478
"Hypsiprymnodon_moschatus",-0.118396431827738,0.0313610818667346,-0.0454063787256102,-0.00471170851389933,0.0185127465585459,-0.0292152519625459,0.00289133349501957,-0.00281343802035493,0.000708850336317461,0.00689097350838092,0.0167382374694269,-0.00513927581523691,0.00134706857877592,0.0129284108646256,0.00577668523316498,0.00501598361419706,-0.000138515899745557,-0.00316965516120704,-0.00233685073934179,-0.00116129361619052,0.00438487958418492,-0.00163845017248068,0.00062412428496862,-0.00461073103169641,-0.00117870714817191,0.00239886351070013,0.00107940088444217,-0.0010165673689727,0.00103229077686435,-0.000104694837859924,0.000635840873293514,0.000335295621340046,-0.00120371052319977,-0.0012213287105716,-0.000754453432787674,6.45951584629602e-06,0.000161418477715508,7.14623448195752e-05,-0.000155176826932554
"Lagorchestes_c_conspicillatus",0.0154199013254306,-0.00440664458228339,0.0392154132152391,0.0104652997084636,-0.0183216868119368,0.00970481945004977,-0.0278214912350807,-0.00330632857168954,-0.00302532449233312,-0.0177846608001371,0.0064529787663464,-0.00720949861068075,-0.0137702088523727,0.0112944876846121,0.000771088735046653,0.0053522485332225,-0.00475349831221789,0.00229597080570367,0.00316548390087199,0.0025147308932149,-0.00869885501610114,0.000506437762501239,-0.00416921034649561,-0.00144778776530498,-0.000767478977949846,0.00206404328998441,0.00101560160922403,0.000884059551939078,0.00104771280968306,-0.00113533665409661,-0.001291383729334,0.00100523975284559,-0.000397067666718831,-0.00192801085592212,0.000255733735073116,0.000213966339185088,-0.000626106714993016,-3.32305661316702e-06,-2.22565419258577e-05
"Lagorchestes_h_hirsutus",-0.00599763104831664,0.0141168392972607,0.0107386473377438,0.056622135970892,0.0092432861317335,0.00218725031221404,-0.0124087416741813,-0.00710771893121443,-0.0010077294244223,-0.0101858606187156,-0.00683329061613433,0.00253503534160983,-0.00478187141656751,0.00173212860128282,-0.000575004193518852,-0.00445820923172512,-0.00615839418046902,0.000461558611756908,-0.00898708325076833,-0.002829758030456,-0.000677340786970524,-0.00615827424675641,0.00726585645011006,-0.000936417954755126,3.38580756116559e-05,0.00454053158154042,-0.0047570061761952,-0.00297008977188729,-0.00171020327526491,0.00142616312212175,-0.000420121029953768,8.46534883026209e-06,-0.000427876708228946,0.000880686196632579,0.000511651307739874,0.000288413466446053,0.000172934513215199,0.000332611076688536,-0.000207386607956144
