"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41"
"Aepyprymnus_rufescens",-0.0467867570773389,0.0298891510388771,-0.00733878397619615,-0.0516225744180325,0.0369744364791286,-0.000417812488366282,0.00829252318696339,-0.00424261750673464,0.00309497093927858,-0.0354268348467102,0.0107760703076972,-0.00717063570422447,0.000212128542768224,-0.00230008484732062,0.000751504134631013,-0.0026698847416263,0.00358261899289973,-0.00281221507925142,-0.00597001582700702,0.00713157381388805,0.000248275496483208,-0.00700924836278825,0.000949798178108057,0.00084143985800719,0.00302933663180767,-0.000770389175900148,-0.00225319979993148,0.00133586627861305,0.00110647288361804,0.000206531451562453,0.000205087457769346,-0.00167780362078738,-0.00057759106277703,-0.000804838309590048,-0.00101951031042903,0.000236265952303575,0.000608286110688664,0.000138798290151557,0.00106546169621985,0.000322140719551212,0.000333767947893861
"Balbaroo_fangaroo",-0.0742278456543519,-0.0707706048155531,-0.0148414882936784,0.0110107610941913,-0.00788812301873021,0.00728817576452882,-0.0414956497290401,0.0155660713878322,-0.000913191941931095,0.007332472778965,0.00246319943331957,0.00472488264381369,-0.00246166680403994,-0.0130389592263566,0.0108990212115995,-0.00117286424262311,0.00649090417430968,0.00861866407651113,0.00277132500029316,0.00287034117764998,-0.00306700589761279,-0.000413614181977565,0.00743529567369682,0.00295264750817571,0.00212462326530678,0.00491651179912058,-0.00074507901871725,0.00147258922981562,0.000886672147289362,-0.000762282648434123,-0.000923436416477484,0.000460750666601345,-0.000684192822845549,0.000420879033272848,-0.00112320990301591,-1.86869414951701e-05,0.000393293206141963,0.00106518313401903,4.72971371652384e-05,-0.000148931537133221,8.80622661184504e-05
"Balbaroo_nalima",-0.0392949284484891,-0.0575922504102607,0.0313448851321557,0.0239470058857954,0.0270803761769586,0.0188114092972168,0.0116337487515532,0.00145710330355889,0.00256379599940561,0.00812843653262525,-0.0134693972896698,-0.00866481632727293,-0.00238721842970017,0.00887766758607891,-0.0127108504985041,-0.00100267013242847,0.0015521834109805,0.00220090243206965,0.00469221566019873,-0.000174808071573739,-0.00500411007496631,-0.00436554999598977,-0.0102248448828606,-0.00135856425911175,-0.00529070681735851,0.00124173807849933,-0.00226306136515676,0.0014965162515309,-0.00222271305877578,0.00294183234697737,0.000510311668530035,-0.00124173091319733,-0.00091849313604264,0.000969349766974194,-0.00120527839479903,-8.7285584700962e-05,0.000568299640687216,-0.000113047164315621,-0.000742790740992227,0.000210891427194402,0.000230701265699982
"Bettongia_gaimardi",-0.0652947888087113,0.0244166385948219,0.0129473703933399,0.0170260935917078,0.0223221205980416,-0.00438001716951661,-0.0141460042712676,0.020621777537642,0.00254051617347987,0.00529540871204174,-0.00196107906502733,0.002903512082744,-0.00386295801775723,0.00301432164644783,-0.0142174478038655,0.00244562990046795,0.00489521187433345,0.00111176119117624,0.00529863031084309,0.00536220983136202,-0.00468253030377761,0.000908256988342168,-0.00146481868416515,-0.00726555533516942,0.00102898419010553,-0.00116446014962205,-0.00131076786677024,-0.00320985972739798,0.000587144443595584,-0.00415825662828869,-0.000330732312344349,-0.000349355143209529,0.000811135239288914,-0.00233762512316919,0.00119882823035102,-0.00180162385964913,-0.000560219709643933,-6.43712893518087e-05,0.000285318939421609,-6.86852544757307e-05,0.000361914229903777
"Bettongia_l_graii",-0.0493193053622296,0.0328483811595106,-0.0076180951893946,-0.0270348826193082,0.0190001733827433,0.000466380784766363,0.0104564658652832,-0.00943422055979064,-0.00446999382660451,-0.0050823840802338,0.00943918335405416,0.0264194858723736,0.0153428145898177,-0.00308129466022392,-0.00220196405578359,-0.000723075583031889,-0.00412522967332609,0.00466267521568811,0.00587168656395982,-0.0016868567978383,-0.0101120132857455,0.00154676478020096,-0.00517591123522164,0.0043758197702102,0.00152043942966953,0.00592783018458552,0.00157600168984196,-9.18396669825909e-05,-0.000308316049481413,-0.000255308323868584,-0.000633198845526357,-0.00104917154050007,-0.000758418484104271,0.000277910363612045,0.000152392708592735,0.00057001184921684,0.000958859158677341,-0.000346054614932568,-0.000901378222821864,-0.000301445815949702,-0.000241578656399838
"Bettongia_p_ogilbyi",-0.0526655061450551,0.0406822963970177,0.0185923843445768,0.0255539706703425,0.0245581319579024,-0.0206758863089571,-0.00320811799526367,-0.0024976265607202,-0.0085665779534922,0.0110611214039925,0.00983331091255107,0.00738622949876694,0.0136468608881037,-0.0090887600774785,-0.00504841069407785,-0.000494086515437775,-0.00197703716789295,-0.00179362096539917,-0.00287090633173933,-0.00485153458316289,0.00887632681293317,0.000315189106538297,-0.00125769590963365,-2.79968412877541e-05,-0.000884330309987139,0.00231950656824522,0.000710574796655977,-0.00136702710922152,0.00128145787318678,0.00493661697533032,-0.00233551795971033,0.00352021198752777,-6.21794940932922e-05,0.000519273004091051,-0.00019902813666147,-0.00111934137482351,-7.84366420580311e-05,0.000593757547956509,0.000471482134618585,9.8799655691694e-05,8.47954058528916e-05
"Dendrolagus_goodellowi",-0.0150055319467071,-0.0364226982218465,-0.000424581649594596,-0.0231314200395701,-0.0106381664503564,-0.0430270195449027,0.00528828398491812,-0.0182999370296872,-0.00598504839585102,0.0111715998774609,4.92162850244237e-05,0.0127136924932681,-0.0180658728785561,0.000727964488302009,0.0043511469665264,-0.00238591638268677,0.00202539290490487,-0.00955508040970273,-0.00533541805556095,-0.00454160652512128,0.00350962465663817,-0.00651232510165157,-0.00496032703081149,-0.00162885017113216,0.00137808500972359,0.00265068096209426,-0.00210521509426846,0.00110063859807295,0.000611071130496999,-0.00210888468042806,-0.00266183770221813,-0.000440787448964512,0.000649795860990245,0.000324634318387795,0.00103651321977625,-0.000364445606322959,-0.000490211362669187,-0.000410113665441464,-0.000258146334207916,0.000383262382179739,0.000220908021909918
"Dendrolagus_lumholtzi",-0.0340014799855473,0.00549604360761426,-0.0414642120339526,-0.0260551302759099,-0.0167084216013176,-0.00665367836074254,-0.014899594032615,0.015251253335871,-0.0231647021659231,-0.00175120373953634,0.00644722589644116,0.01331217315844,-0.0139751338657191,0.00234125577670055,-0.0193916879621648,0.0151030003626159,0.000699515094480606,0.00208884398585173,-0.00269600539456221,-0.00208159335100913,0.00347613351862734,-5.34643794047203e-05,-0.0013920451431055,0.000656033235566337,-0.000147810590122091,-0.00585726310394531,0.000834324963538532,0.00254967470412628,0.000654532475549374,0.00251610768481984,0.00251111412667932,-0.00064183011769633,0.000549743937421206,0.00158690505416485,0.000392269247199998,0.000475538584141828,-0.000160117946177433,0.000389264555644984,-0.000264722423397108,-0.000389666980691295,4.46412261059978e-05
"Dendrolagus_matschiei",0.00503424951566132,-0.0151067421414536,-0.0322722203722436,-0.0164262638119704,0.002188627884196,-0.0342311761848357,0.00690255230967923,1.62090396401195e-05,0.00600217731957486,-0.000776312343783547,-0.00285014230664512,0.00613889670095664,-0.0024369575245904,-0.00230136953068816,0.01188453601151,-0.00203072192981134,0.0028014280883604,0.00583343281335847,-0.00138781350488951,0.00222935297806354,0.00555958363151932,0.00310458776576391,-0.00215572078336496,-0.00816638002271368,-0.00742014475836854,-0.00254208964167518,0.00165334885379112,0.00113254062624483,-0.00489747206153916,0.000440122149837238,-8.31127855914679e-05,0.00119109276878331,-0.00133629762721844,-0.00109969425148671,-0.00196372215782595,-0.00047093657843493,0.000481181047669402,6.54046205943978e-05,6.43968573724106e-05,-0.000176526426118684,4.83210861530426e-06
"Ganguroo_bilamina",-0.0254983845515366,-0.0119566418378355,0.00811570891938824,0.00915540936125277,-0.0123694755930457,-0.0281531137131894,0.00926057689254915,0.00254469760916019,0.00980561052677328,0.0120985881866591,0.015882169389704,-0.0149449056992025,0.0125189113596781,0.000533136274432097,0.00269099194075094,0.00694297700422832,-0.00161756187742806,0.0135657043698478,-0.00593874871843737,0.000764560542333333,0.00376835672000337,0.00237546563879143,-0.0046391761563989,0.00732319265044083,0.00159970501604728,-0.00338743001029569,-0.00265716776419088,-0.00183683921246627,0.00262466343455109,-0.00209636475280066,0.00265413622530824,0.000358696974726521,-0.00167562052442162,-0.000755078851462566,8.03291622750223e-06,4.14850135170499e-05,3.70134279183671e-05,-0.000920027694490489,-0.000233991775067058,-0.000262903837990433,0.000467507271950666
